Curso;Part.Prdo;NRC;Nivel;Grupo;Cupo Actual;Cupo Min.;Cupo Mat.;Cupo Dispo.;Cred.Cobr.;Tipo Horario;Met.Educativo;DÌas;Horas;Edificios;Aula;Profesor
LLH403 COMPREN AUDITIV Y EXPR ORAL I;1;50057;1;80;38;30;38;0;3;TLP;PRE;I;1300-1440;S101RB;L004;CRISTINA VARGAS BARBOZA
LLH403 COMPREN AUDITIV Y EXPR ORAL I;1;50057;1;80;38;30;38;0;3;TLP;PRE;I;1500-1640;S101RB;C001;CRISTINA VARGAS BARBOZA
LLH408 GRAM¡TICA III;1;50064;2;80;35;25;27;8;3;CTP;PRE;I;0800-1120;S101RB;;ANA ARAYA RIOS
LLH409 COMP LECTURA Y EXPRES ESC II;1;50065;2;83;35;25;20;15;3;CTP;PRE;V;0800-1120;S101RB;C002;JUAN MENDEZ VALVERDE
LLH410 LING‹ÕSTICA GENERAL;1;50066;2;83;35;25;23;12;3;CTP;PRE;M;0800-1120;S101RB;C001;SANDRA PALACIOS PALACIOS
LLI203 EXPRESION ORAL Y COMP AUD II;1;50033;1;83;32;30;30;2;4;PRL;PRE;L;1400-1630;S101RB;C002;BEATRIZ GAMBOA SANCHEZ
LLI203 EXPRESION ORAL Y COMP AUD II;1;50033;1;83;32;30;30;2;4;PRL;PRE;M;1500-1640;S101RB;L005;BEATRIZ GAMBOA SANCHEZ
LLI203 EXPRESION ORAL Y COMP AUD II;1;50033;1;83;32;30;30;2;4;PRL;PRE;I;1500-1640;S101RB;C003;EVELYN VALVERDE MARIN
LLI204 PRONUNCIACI”N: CONSONANTES;1;50026;1;82;28;30;28;0;3;CTL;PRE;M;1700-2020;S101RB;L004;ANA ARAYA RIOS
LLI204 PRONUNCIACI”N: CONSONANTES;1;50034;1;83;29;30;29;0;3;CTL;PRE;M;1700-1840;S101RB;L005;CRISTINA VARGAS BARBOZA
LLI208 CULTURA II;1;50045;2;80;32;25;32;0;3;CTP;PRE;J;1700-2020;S101RB;C003;CRISTINA VARGAS BARBOZA
LLI210 GRAMATICA INTERMEDIA;1;50046;2;80;44;25;22;22;3;CTP;PRE;L;1700-2020;S101RB;C003;ANA ARAYA RIOS
LLI210 GRAMATICA INTERMEDIA;1;53729;2;81;22;25;21;1;3;CTP;PRE;I;1700-2020;S101RB;C004;KARLA FONSECA SANCHEZ
LLI211 TECNICAS DE LECTURA;1;50047;2;80;40;25;40;0;3;CTP;PRE;M;1700-2020;S101RB;C003;KARLA FONSECA SANCHEZ
;;;;;;;;;;;;;;;;
ELM400 SEMIN.INNOV, INVEST EN INGLES;1;50087;4;81;25;20;18;7;6;CTP;PRE;M;0800-1120;S101RB;;LENA BARRANTES ELIZONDO
LIX410 INGLES INTEG OTRAS CARRERAS I;1;50315;0;80;25;30;24;1;4;TLP;PRE;L;0800-0940;S101RB;L005;NOELIA JIMENEZ VALVERDE
LIX410 INGLES INTEG OTRAS CARRERAS I;1;50315;0;80;25;30;24;1;4;TLP;PRE;V;0800-1030;S101RB;C004;NOELIA JIMENEZ VALVERDE
LIX410 INGLES INTEG OTRAS CARRERAS I;1;50154;0;82;40;30;39;1;4;TLP;PRE;I;1300-1620;S101RB;;YENDRY ALVARADO CASTILLO
LIX410 INGLES INTEG OTRAS CARRERAS I;1;50154;0;82;40;30;39;1;4;TLP;PRE;V;1300-1530;S101RB;L005;YENDRY ALVARADO CASTILLO
LIX410 INGLES INTEG OTRAS CARRERAS I;1;50325;0;89;25;30;24;1;4;TLP;PRE;I;1300-1440;S101RB;L005;MARIA CARRANZA CESPEDES
LIX410 INGLES INTEG OTRAS CARRERAS I;1;50325;0;89;25;30;24;1;4;TLP;PRE;V;1300-1530;S101RB;C004;MARIA CARRANZA CESPEDES
LIX411 INGLES INTEG OTRAS CARRERAS II;1;50213;0;86;25;30;29;-4;4;TLP;PRE;L;0900-0950;S101RB;;DIEGO GARRO BUSTAMANTE
LIX411 INGLES INTEG OTRAS CARRERAS II;1;50213;0;86;25;30;29;-4;4;TLP;PRE;I;1000-1140;S101RB;L005;DIEGO GARRO BUSTAMANTE
LIX411 INGLES INTEG OTRAS CARRERAS II;1;50232;0;81;25;30;27;-2;4;TLP;PRE;L;0800-1030;S101RB;C001;LESLY ZU—IGA VARGAS
LIX411 INGLES INTEG OTRAS CARRERAS II;1;50232;0;81;25;30;27;-2;4;TLP;PRE;I;1300-1440;S101RB;C001;LESLY ZU—IGA VARGAS
LLH401 GRAM¡TICA I;1;50054;1;80;38;30;37;1;3;CTP;PRE;I;0800-1120;S101RB;C001;KARLA FONSECA SANCHEZ
LLH402 PRONUNCIACI”N I;1;50056;1;80;35;30;33;2;3;CTL;PRE;V;0800-1120;S101RB;L004;SANDRA PALACIOS PALACIOS
;;;;;;;;;;;;;;;;
LLI213 INGLES INTEGRADO II;1;50035;1;83;25;30;16;9;6;TLP;PRE;L;1700-2020;S101RB;C002;ROGER SEGURA ARIAS
LLI213 INGLES INTEGRADO II;1;50027;1;82;25;30;25;0;6;TLP;PRE;I;1700-1840;S101RB;C001;MANUEL NAVARRO GODINEZ
LLI213 INGLES INTEGRADO II;1;50027;1;82;25;30;25;0;6;TLP;PRE;J;1700-2020;S101RB;C001;MANUEL NAVARRO GODINEZ
LLI213 INGLES INTEGRADO II;1;50027;1;82;25;30;25;0;6;TLP;PRE;L;1900-2040;S101RB;L004;DIEGO GARRO BUSTAMANTE
LLI213 INGLES INTEGRADO II;1;50043;1;84;25;30;22;3;6;TLP;PRE;I;1700-1840;S101RB;;ANGELICA ALTAMIRANO JIMENEZ
LLI213 INGLES INTEGRADO II;1;50043;1;84;25;30;22;3;6;TLP;PRE;J;1700-1840;S101RB;L004;YANIRIAN HERNANDEZ PARRA
LLI215 ELOCUCI”N;1;50048;2;80;30;25;26;4;3;PRL;PRE;M;1400-1630;S101RB;B004;ANA MORA ABARCA
